id,Natoms,percent_atom_al,percent_atom_ga,percent_atom_in,vol_per_atom,a,b,c,alpha,beta,gamma,a_b,b_c,a_c,ecn_bond_dist_Al-Ga,ecn_bond_dist_Al-In,ecn_bond_dist_Al-O,ecn_bond_dist_Ga-Al,ecn_bond_dist_Ga-In,ecn_bond_dist_Ga-O,ecn_bond_dist_In-Al,ecn_bond_dist_In-Ga,ecn_bond_dist_In-O,ecn_bond_dist_O-Al,ecn_bond_dist_O-Ga,ecn_bond_dist_O-In,Ef,soap_predE,abs_error,error,sq_error,norm_abs_error,sum_Ef_and_normalized_error,sum_pred_Ef_and_abs_error
15,80,0.03125,0.09375,0.875,13.13471178,10.16660805,10.16641646,10.16638512,89.99876531,90.00091285,90.0008763,1.000018845,1.000003083,1.000021928,0.0,3.358864732,2.142989813,0.0,3.358856595,2.15243703,1.410842152,2.783373743,2.150079793,0.274917063,0.728443884,2.146549512,0.0624,0.0597423,0.0026577,-0.0026577,7.06336929e-06,0.0425913461538,0.102333646154,0.0624
16,80,0.9375,0.03125,0.03125,9.484678083,23.4342707,6.114940467,6.114525225,120.0055367,90.00721772,90.0037332,3.83229744,1.000067911,3.832557695,0.887811364,0.887811364,1.889892309,3.057112547,3.057470234,2.03299476,3.057112547,3.057470234,2.03299476,1.868571379,0.254135368,0.376188861,0.2129,0.22307706,0.01017706,0.01017706,0.000103572550244,0.047802066698,0.270879126698,0.23325412
17,80,0.25,0.375,0.375,11.16761511,9.631398555,9.631215675,9.631190286,90.00285717,90.00289092,89.99676425,1.000018988,1.000002636,1.000021624,3.188313615,3.241888889,2.036866564,2.390699828,3.184828446,2.034628663,3.224763798,3.189027238,2.039101876,1.419751696,1.757643348,1.712590192,0.1877,0.20437132,0.01667132,0.01667132,0.000277932910542,0.0888189664358,0.293190286436,0.22104264
18,80,0.4375,0.3125,0.25,10.52141909,9.442010062,9.441717651,9.441670513,90.00291866,89.99716821,90.00322663,1.00003097,1.000004993,1.000035963,3.223490833,3.154110361,1.995858605,3.124390417,3.168044414,1.995474565,3.123534081,3.234751059,2.000087057,1.805413714,1.430596144,1.391786264,0.217,0.21081435,0.00618565,-0.00618565,3.82622659225e-05,0.0285052995392,0.239319649539,0.217
19,80,0.53125,0.03125,0.4375,11.22302702,24.2617205,6.536954248,6.536524367,119.9941226,90.01585993,90.01259008,3.71147167,1.000065766,3.711715759,1.242780065,3.410855625,2.077170076,3.268477124,3.268262184,1.886855924,3.354849044,0.72210102,1.963851049,1.745178508,0.200784316,1.726974878,0.3406,0.51767437,0.17707437,0.17707437,0.0313553325109,0.519889518497,1.0375638885,0.69474874
20,80,0.25,0.28125,0.46875,11.88328344,24.53807496,6.36030134,6.306635194,90.00000268,105.016305,90.00011907,3.858005093,1.008509474,3.890834685,2.848870967,3.210583156,1.922197247,2.975766693,3.271773182,1.909852671,3.310272148,3.304583637,1.918317523,1.388915326,1.369950535,1.823948136,0.2267,0.21050426,0.01619574,-0.01619574,0.000262301994148,0.0714412880459,0.281945548046,0.2267
21,40,0.0,0.875,0.125,11.00580623,9.522099869,8.905346959,5.191564782,90.00137072,90.00116567,89.9969272,1.069256472,1.715349289,1.834148329,0.0,0.0,0.0,0.0,2.85144923,1.88312843,0.0,3.060140712,1.868627626,0.0,1.914935154,0.838670729,0.0819,0.07750717,0.00439283,-0.00439283,1.92969554089e-05,0.0536365079365,0.131143677937,0.0819
22,80,0.59375,0.28125,0.125,10.1786163,10.10550893,9.295464404,8.668609687,90.00286445,90.00122796,90.00190259,1.087144062,1.072313178,1.165758904,3.123784862,3.124472379,1.846009882,3.055323423,2.189363275,1.806331708,3.150974807,3.181054205,1.826835393,1.920516843,1.460048577,0.591519202,0.1436,0.14049128,0.00310872,-0.00310872,9.6641400384e-06,0.0216484679666,0.162139747967,0.1436
23,80,0.34375,0.28125,0.375,11.49753965,24.46537383,6.28116951,6.191199181,89.99986972,104.8096343,90.0001454,3.895034801,1.014531971,3.951637335,2.916416837,3.219528128,1.89838974,2.813146154,3.283477594,1.89046421,3.221809327,3.370340084,1.924713821,1.501951323,1.294420313,1.709697278,0.127,0.13997327,0.01297327,0.01297327,0.000168305734493,0.102151732283,0.242125002283,0.15294654
24,80,0.75,0.09375,0.15625,10.0617795,10.06712591,9.26234026,8.632539078,90.00447188,90.00106576,90.00194473,1.086887938,1.072956656,1.166183648,2.662081251,2.709121234,1.823433272,3.01714823,3.047480228,1.836901034,2.976557534,2.493407949,1.828191389,1.881122467,0.653398392,0.932501135,0.2016,0.1917469,0.0098531,-0.0098531,9.708357961e-05,0.0488745039683,0.240621403968,0.2016
25,80,0.34375,0.65625,0.0,10.51355203,24.56436456,6.07129481,5.806790959,89.99975675,103.7800013,90.00019342,4.045984478,1.045550779,4.230282222,3.141246537,0.0,1.874468883,2.585221271,0.0,1.895060954,0.0,0.0,0.0,1.295980643,1.814638226,0.0,0.0297,0.02628643,0.00341357,-0.00341357,1.16524601449e-05,0.114935016835,0.141221446835,0.0297
26,80,0.0,0.25,0.75,13.03547493,24.7237663,6.646894016,6.58880912,90.00034821,90.00004771,105.6108468,3.719596888,1.00881569,3.7523877,0.0,0.0,0.0,0.0,3.326562796,1.946621198,0.0,2.519527264,1.947221398,0.0,1.171272655,2.020291729,0.1281,0.13633917,0.00823917,0.00823917,6.78839222889e-05,0.0643182669789,0.200657436979,0.14457834
27,80,0.28125,0.15625,0.5625,12.03092789,10.73687961,9.785905639,9.160306471,90.00143056,90.00039324,89.99923391,1.097177922,1.068294567,1.172109213,2.919868768,3.248244182,1.949465521,3.21179061,3.248010104,1.922941684,3.310943128,3.357432464,1.939944687,1.476500935,1.143149518,1.837056585,0.2643,0.2736978,0.0093978,0.0093978,8.831864484e-05,0.0355573212259,0.309255121226,0.2830956
28,30,0.25,0.333333333,0.416666667,10.96022989,13.96807747,5.213835882,5.213394156,120.0009231,89.99661903,90.00347118,2.679040497,1.000084729,2.679267489,0.951281948,3.170955295,2.023855982,1.477335542,3.017423003,2.023869617,3.124771707,3.025037663,2.023877815,1.74553187,1.725888644,1.706245453,0.235,0.22847004,0.00652996,-0.00652996,4.26403776016e-05,0.0277870638298,0.25625710383,0.235
29,80,0.0,0.40625,0.59375,12.23969472,9.930127864,9.93011005,9.930055415,90.00223053,90.00254024,89.99663698,1.000001794,1.000005502,1.000007296,0.0,0.0,0.0,0.0,3.283396545,2.101662238,0.0,3.28530048,2.09897178,0.0,1.895929803,2.109337768,0.1146,0.11360123,0.00099877,-0.00099877,9.975415129e-07,0.00871527050611,0.122316500506,0.1146
30,30,0.333333333,0.166666667,0.5,11.0963793,14.0199455,5.236398118,5.235985742,120.00121,89.99525994,90.00458268,2.677402517,1.000078758,2.677613384,0.767165956,2.864443104,2.032357845,1.534331912,2.864443104,2.032330461,3.008197731,3.326960306,2.032421734,1.733042206,1.394308442,2.052111496,0.2301,0.22279803,0.00730197,-0.00730197,5.33187658809e-05,0.0317338983051,0.254531928305,0.2301
31,40,0.1875,0.0625,0.75,12.82525339,9.980773093,9.355035529,5.494350016,90.00034219,89.99777278,90.00109958,1.066887781,1.702664647,1.816552106,0.0,3.304538659,2.014460598,0.0,3.21119859,2.027686267,2.610434869,2.331245584,1.971069918,1.060325954,0.547851406,2.012279772,0.2622,0.24774924,0.01445076,-0.01445076,0.000208824464578,0.0551135011442,0.302862741144,0.2622
32,80,0.375,0.34375,0.28125,11.20497401,24.45764165,6.21981312,6.088557853,89.99980585,104.5747942,90.00016196,3.932214872,1.021557694,4.016984357,3.20220484,3.208395231,1.900470611,3.218250424,3.272994261,1.884623306,3.151513291,3.232970294,1.91983954,1.762100492,1.532811197,1.494446696,0.1363,0.14308098,0.00678098,0.00678098,4.59816897604e-05,0.0497504035216,0.192831383522,0.14986196
33,80,0.0,0.75,0.25,11.40987419,24.4204421,6.569428112,6.569302627,119.9908392,89.99482624,90.00394408,3.71728584,1.000019102,3.717356847,0.0,0.0,0.0,0.0,3.49062326,1.986998883,0.0,3.284720195,2.168237971,0.0,1.966297001,2.054741457,0.1027,0.11056633,0.00786633,0.00786633,6.18791476689e-05,0.0765952288218,0.187161558822,0.11843266
34,80,0.40625,0.21875,0.375,11.4099298,24.4004153,6.26339407,6.178474797,89.99979795,104.8310905,90.00015551,3.895717725,1.013744375,3.94926193,3.047436402,3.285007267,1.885665059,2.76613624,3.189286126,1.896749413,3.293893197,3.266802384,1.919431285,1.576979597,1.102499631,1.750493363,0.1599,0.16076176,0.00086176,0.00086176,7.426302976e-07,0.00538936835522,0.166151128355,0.16162352
35,80,0.03125,0.03125,0.9375,13.35076759,10.22208617,10.22184173,10.22180362,89.99918966,90.00060396,90.00060273,1.000023914,1.000003728,1.000027642,0.0,3.377194466,2.154671974,0.0,3.377194466,2.154671974,1.453406053,1.453406053,2.162284804,0.276416632,0.276416632,2.157066973,0.039,0.0408637,0.0018637,0.0018637,3.47337769e-06,0.0477871794872,0.0886508794872,0.0427274
36,80,0.0625,0.0,0.9375,13.70538083,11.25513759,10.1875789,9.562232566,90.00040514,90.00038499,89.99603213,1.104790225,1.065397524,1.177040771,0.0,3.328761173,1.996929982,0.0,0.0,0.0,2.147055723,0.0,2.029321698,0.561429485,0.0,2.058887209,0.2113,0.21704739,0.00574739,0.00574739,3.30324918121e-05,0.0272001419782,0.244247531978,0.22279478
37,30,0.75,0.083333333,0.166666667,9.544726419,13.43834207,4.960431891,4.960168635,120.0016633,89.98858334,90.01230993,2.709107264,1.000053074,2.709251047,1.000126347,2.404168032,1.929739122,2.745614545,3.635237979,1.929767934,2.745614545,1.817618989,1.929703118,1.929854999,0.662963008,1.325926023,0.1702,0.16949991,0.00070009,-0.00070009,4.901260081e-07,0.00411333725029,0.17361324725,0.1702
38,60,0.0,0.583333333,0.416666667,11.32220954,14.09279273,10.5515239,5.275232625,120.0004194,90.0001863,89.99962079,1.335616814,2.000200683,2.671501663,0.0,0.0,0.0,0.0,3.120322237,2.049702639,0.0,3.038334987,2.049701853,0.0,1.954278739,1.612657682,0.1592,0.15524207,0.00395793,-0.00395793,1.56652098849e-05,0.0248613693467,0.180103439347,0.1592
39,80,0.5,0.125,0.375,11.08951074,10.42663313,9.543332525,8.915757023,90.00292297,90.00067993,90.00072996,1.09255683,1.07038948,1.169461337,2.906965616,3.173910385,1.890115137,3.182674899,3.165617858,1.879530634,3.127319428,2.48030776,1.885085356,1.842699836,0.742373793,1.666616606,0.2275,0.22288137,0.00461863,-0.00461863,2.13317430769e-05,0.0203016703297,0.24318304033,0.2275
40,80,0.53125,0.46875,0.0,9.672727167,9.18109275,9.18066667,9.180584546,90.00432769,90.00448506,89.99610054,1.000046411,1.000008945,1.000055356,3.03881245,0.0,1.944214562,3.03314072,0.0,1.938589571,0.0,0.0,0.0,1.873193679,1.836176452,0.0,0.1005,0.10679934,0.00629934,0.00629934,3.96816844356e-05,0.06268,0.16947934,0.11309868
41,30,0.583333333,0.416666667,0.0,9.299543313,13.33461501,4.915329125,4.915007568,120.0010962,89.99090873,90.01034838,2.7128631,1.000065424,2.713040586,2.18351616,0.0,1.90434546,3.056922626,0.0,1.90433208,0.0,0.0,0.0,1.610294393,1.292894221,0.0,0.0685,0.06314887,0.00535113,-0.00535113,2.86345922769e-05,0.0781186861314,0.141267556131,0.0685
42,80,0.75,0.125,0.125,9.968067841,10.03246407,9.235830653,8.606318207,90.00434539,90.00114756,90.00203863,1.086254658,1.073145384,1.165709172,2.52681533,3.087659013,1.815667854,2.97372092,2.351966742,1.830628015,3.018295421,2.381915033,1.832145004,1.874785703,0.688329262,0.814064782,0.1549,0.15812734,0.00322734,0.00322734,1.04157234756e-05,0.0208349903163,0.178962330316,0.16135468
43,30,0.583333333,0.416666667,0.0,9.299543313,13.33461501,4.915329125,4.915007568,120.0010962,89.99090873,90.01034838,2.7128631,1.000065424,2.713040586,3.083079324,0.0,1.912749384,2.931814382,0.0,1.912736164,0.0,0.0,0.0,1.932459444,1.613658012,0.0,0.0578,0.05851249,0.00071249,0.00071249,5.076420001e-07,0.012326816609,0.070839306609,0.05922498
44,80,0.3125,0.0,0.6875,12.06359253,9.882377268,9.882301318,9.882051795,89.99931402,90.00076379,90.0012319,1.000007685,1.00002525,1.000032936,0.0,3.275298314,2.094107948,0.0,0.0,0.0,3.1863829,0.0,2.088089552,1.224329115,0.0,2.094751943,0.2332,0.21139766,0.02180234,-0.02180234,0.000475342029476,0.0934920240137,0.304889684014,0.2332
45,40,0.0625,0.625,0.3125,11.95589085,14.67157584,6.13564973,6.134320616,119.998232,90.00571443,90.00094165,2.391201663,1.000216668,2.391719761,3.019162073,3.019162011,2.109646147,1.97932599,3.28407795,2.008368519,0.603832402,3.028814375,2.109485893,0.527589893,1.878741711,1.582236857,0.311,0.32997947,0.01897947,0.01897947,0.000360220281481,0.0610272347267,0.391006704727,0.34895894
49,80,0.84375,0.15625,0.0,9.508944386,23.46444718,6.118761804,6.118437912,120.0051475,90.01291117,89.99939554,3.834835859,1.000052937,3.835038864,3.148348253,0.0,1.875364726,3.059063887,0.0,2.03441673,0.0,0.0,0.0,1.870598771,1.102106155,0.0,0.181,0.18476668,0.00376668,0.00376668,1.41878782224e-05,0.0208103867403,0.20557706674,0.18853336
50,80,0.0,0.4375,0.5625,12.13748527,9.902419881,9.902400267,9.90231848,90.00238208,90.00271928,89.99642094,1.000001981,1.000008259,1.00001024,0.0,0.0,0.0,0.0,3.274008578,2.095187307,0.0,3.274440786,2.093432499,0.0,2.022872529,2.105206476,0.123,0.120023,0.002977,-0.002977,8.862529e-06,0.0242032520325,0.144226252033,0.123
51,80,0.40625,0.34375,0.25,11.07966485,24.4334132,6.19343584,6.050113632,89.99976003,104.5021459,90.00017102,3.945049861,1.023689176,4.038504842,2.9720978,3.252338451,1.894006793,3.243457873,3.21016102,1.886734982,3.185813653,3.209931016,1.915432665,1.573245446,1.441212062,1.36863905,0.1557,0.16079158,0.00509158,0.00509158,2.59241868964e-05,0.0327012202954,0.193492800295,0.16588316
52,80,0.0,0.75,0.25,11.40975899,10.52175985,9.62814765,9.010218682,89.99744125,90.00081735,90.00046748,1.092812474,1.068580907,1.167758544,0.0,0.0,0.0,0.0,3.378119279,1.916175624,0.0,3.305471574,1.87020701,0.0,1.964485639,1.376507693,0.0844,0.07760875,0.00679125,-0.00679125,4.61210765625e-05,0.0804650473934,0.158073797393,0.0844
53,80,0.40625,0.0,0.59375,11.62066044,9.759898634,9.75988969,9.759567723,89.99930013,90.00090775,90.00151222,1.000000916,1.00003299,1.000033906,0.0,3.224492526,2.059357953,0.0,0.0,0.0,3.280849712,0.0,2.067292974,1.780482098,0.0,2.074797966,0.2436,0.25952337,0.01592337,0.01592337,0.000253553712157,0.0653668719212,0.324890241921,0.27544674
55,40,0.625,0.375,0.0,10.0349574,14.07817644,9.942526368,5.721524782,30.13322962,93.23819659,92.8126278,1.415955655,1.73774068,2.460563744,2.99004705,0.0,1.898526335,2.992532841,0.0,1.893705505,0.0,0.0,0.0,1.896309515,1.597668431,0.0,0.1369,0.16580769,0.02890769,0.02890769,0.000835654541136,0.211159167275,0.376966857275,0.19471538
56,40,0.0,0.25,0.75,13.51163656,15.75931828,10.96857936,6.296421943,30.32114061,100.3830783,98.85650186,1.436769317,1.742033723,2.502900603,0.0,0.0,0.0,0.0,3.11697056,2.002450215,0.0,2.454407721,1.994137024,0.0,1.325805859,2.063221419,0.238,0.30360068,0.06560068,0.06560068,0.00430344921646,0.275633109244,0.579233789244,0.36920136
57,80,0.40625,0.34375,0.25,10.56527582,9.455103491,9.454806459,9.454790243,90.00304465,89.99695558,90.00328182,1.000031416,1.000001715,1.000033131,3.126329675,2.960932464,1.999054939,3.129768685,3.166469739,2.00016448,3.239274419,3.127866041,1.999567794,1.722140856,1.600296116,1.222157219,0.2037,0.20842684,0.00472684,0.00472684,2.23430163856e-05,0.0232049091802,0.23163174918,0.21315368
59,40,0.0625,0.1875,0.75,13.02410906,10.02849481,9.404865667,5.523567492,90.00014028,89.99739432,89.99984777,1.066309203,1.702679596,1.815582923,3.496324194,3.228293564,2.037899136,2.350483207,3.310832586,1.982668446,1.755599325,3.473259173,1.991883028,0.550674151,1.119603165,2.058883425,0.1755,0.17253817,0.00296183,-0.00296183,8.7724369489e-06,0.0168765242165,0.189414694217,0.1755
60,40,0.6875,0.3125,0.0,9.936978706,14.0183819,9.907997081,5.706419743,30.14104408,92.87968257,92.55174189,1.414855271,1.73628957,2.456598451,3.12638239,0.0,1.928169129,3.178044686,0.0,1.824882005,0.0,0.0,0.0,1.932274723,1.215246318,0.0,0.0822,0.10834354,0.02614354,0.02614354,0.000683484683732,0.318047931873,0.426391471873,0.13448708
62,80,0.34375,0.25,0.40625,11.58114584,24.457125,6.29865907,6.223311828,89.9998788,104.8898967,90.00014164,3.882909795,1.012107258,3.929921186,2.37679641,3.180523985,1.914032827,2.851652996,3.254885533,1.894145616,3.198485367,2.570803425,1.908993534,1.573593368,0.971621347,1.732332444,0.2259,0.20893068,0.01696932,-0.01696932,0.000287957821262,0.0751187250996,0.2840494051,0.2259
63,80,0.53125,0.25,0.21875,10.54929704,23.98032486,6.374823237,6.374538676,119.9974487,90.01499572,90.00670112,3.761723889,1.00004464,3.761891813,3.264960151,2.741325077,1.951068293,3.187340478,3.311028216,2.008560809,3.187366025,3.187394043,1.994193256,1.877417845,1.513819917,1.360751857,0.3131,0.28819672,0.02490328,-0.02490328,0.000620173354758,0.0795377834558,0.367734503456,0.3131
65,80,0.375,0.125,0.5,11.64554993,24.45968281,6.631781944,6.631361565,119.9918066,90.01524427,90.00715817,3.688251969,1.000063393,3.688485776,1.405953056,3.412809315,2.049443702,3.3158628,3.606934684,2.117165925,3.388656585,1.352651798,2.032513146,1.759202682,0.521791382,1.876518369,0.4202,0.40952086,0.01067914,-0.01067914,0.00011404403114,0.025414421704,0.434935281704,0.4202
66,30,0.166666667,0.833333333,0.0,9.844917741,13.54246624,5.018493608,5.018022412,120.0001812,89.99798153,90.00341564,2.698512203,1.000093901,2.698765595,2.843917911,0.0,1.942448309,1.49439233,0.0,1.942424106,0.0,0.0,0.0,1.341441691,1.942463324,0.0,0.0727,0.0722563,0.0004437,-0.0004437,1.9686969e-07,0.00610316368638,0.0783594636864,0.0727
67,30,0.333333333,0.666666667,0.0,9.624292309,13.4593253,4.977225563,4.976814077,120.0005424,89.995212,90.00617042,2.704182306,1.000082681,2.704405889,2.104366943,0.0,1.935623912,1.471844096,0.0,1.935623909,0.0,0.0,0.0,1.3100288,1.955243445,0.0,0.0762,0.08198928,0.00578928,0.00578928,3.35157629184e-05,0.0759748031496,0.15796408315,0.08777856
68,80,0.40625,0.3125,0.28125,10.65846032,9.482809774,9.482540964,9.482496589,90.00283605,89.99716987,90.00311253,1.000028348,1.00000468,1.000033028,3.136765788,3.174094047,2.006955252,3.13456132,3.22718817,2.004105307,3.134727246,3.140254543,2.004693991,1.728869542,1.611428971,1.39928439,0.221,0.21427829,0.00672171,-0.00672171,4.51813853241e-05,0.0304149773756,0.244693267376,0.221
69,80,0.8125,0.1875,0.0,9.546973136,23.48789769,6.12790029,6.127599615,120.0047797,90.01418591,89.99902314,3.832943843,1.000049069,3.833131922,3.287641795,0.0,1.871940847,3.063655613,0.0,2.037247277,0.0,0.0,0.0,1.872763587,1.188514753,0.0,0.1723,0.18296751,0.01066751,0.01066751,0.0001137957696,0.0619124201973,0.244879930197,0.19363502
70,80,0.375,0.4375,0.1875,10.66927167,24.05764929,6.400570459,6.400380196,119.9961767,90.01315873,90.00396029,3.758672675,1.000029727,3.758784409,3.200237122,1.949218743,1.982746498,3.247242892,2.379885422,1.98270334,2.721847401,3.200292616,1.982686077,1.649575185,1.90822332,1.082490996,0.2745,0.2907204,0.0162204,0.0162204,0.00026310137616,0.0590907103825,0.349811110383,0.3069408
71,80,0.25,0.75,0.0,10.26645343,10.12759801,9.320626143,8.700793988,89.99894707,90.00196839,90.00206017,1.086579148,1.071238574,1.163985496,3.057945105,0.0,1.813876942,2.919363237,0.0,1.84520765,0.0,0.0,0.0,1.366115542,1.85033832,0.0,0.066,0.06867383,0.00267383,0.00267383,7.1493668689e-06,0.0405125757576,0.109186405758,0.07134766
72,80,0.40625,0.59375,0.0,9.839302929,9.233465017,9.233144691,9.232939158,90.00482552,90.00470187,89.99523344,1.000034693,1.000022261,1.000056955,3.050392332,0.0,1.950175757,3.054741111,0.0,1.954348402,0.0,0.0,0.0,1.767739838,1.961991578,0.0,0.1092,0.10874303,0.00045697,-0.00045697,2.088215809e-07,0.00418470695971,0.11292773696,0.1092
73,40,0.125,0.875,0.0,10.43802081,9.368339104,8.750637679,5.093025444,90.00203469,90.00194192,89.99767454,1.070589304,1.718160998,1.839444787,3.003515546,0.0,1.835142482,2.801818172,0.0,1.849450958,0.0,0.0,0.0,0.823912052,1.88120404,0.0,0.0546,0.06105639,0.00645639,0.00645639,4.16849718321e-05,0.118248901099,0.179305291099,0.06751278
76,80,0.8125,0.125,0.0625,9.72537483,23.56820721,6.174322769,6.173980478,120.0034686,90.0124262,90.00374008,3.817132355,1.000055441,3.81734398,2.908889711,1.931671179,1.926618072,3.086915967,2.404276161,1.84921928,3.086915967,3.087075812,1.916403662,1.901514206,0.831963665,0.570976868,0.2881,0.29795888,0.00985888,0.00985888,9.71975148544e-05,0.0342203401597,0.33217922016,0.30781776
77,40,0.3125,0.375,0.3125,11.55082243,14.76097726,10.34360943,5.992449611,30.33727706,90.98737302,91.146818,1.427062512,1.726107035,2.463262642,3.099828844,3.107802565,2.042325316,3.159068077,3.182234977,2.017611791,3.211020041,3.218489257,2.005107246,1.709248649,1.593090245,1.6817874,0.3358,0.31856191,0.01723809,-0.01723809,0.000297151746848,0.0513343954735,0.369896305473,0.3358
80,80,0.25,0.09375,0.65625,12.39966838,10.85548435,9.877373521,9.251440812,90.00142694,90.00036707,89.99856958,1.099025396,1.067657862,1.173383105,2.880850685,3.247429794,1.958414036,3.186666105,3.29001121,1.966428759,3.193352699,2.471571455,1.959790254,1.405999557,0.766328065,1.932404089,0.283,0.29460646,0.01160646,0.01160646,0.000134709913732,0.0410122261484,0.335618686148,0.30621292
81,80,0.53125,0.46875,0.0,9.672727167,9.18109275,9.18066667,9.180584546,90.00432769,90.00448506,89.99610054,1.000046411,1.000008945,1.000055356,3.034123396,0.0,1.939692573,3.036416826,0.0,1.943714492,0.0,0.0,0.0,1.874876728,1.796213245,0.0,0.1104,0.11607658,0.00567658,0.00567658,3.22235604964e-05,0.0514182971014,0.167494877101,0.12175316
82,30,0.416666667,0.583333333,0.0,9.515220528,13.41775505,4.956592661,4.956211098,120.0007253,89.99379777,90.00755694,2.707052196,1.000076987,2.707260604,2.960542277,0.0,1.927987392,3.070188767,0.0,1.928003326,0.0,0.0,0.0,1.947657426,1.928077594,0.0,0.0622,0.06666209,0.00446209,0.00446209,1.99102471681e-05,0.0717377813505,0.13839987135,0.07112418
83,80,0.15625,0.09375,0.75,12.87477556,11.00330845,9.992703359,9.36749288,90.00078818,90.00029216,89.99767898,1.101134303,1.066742563,1.174626828,2.109692152,3.264572396,1.971420332,2.315924089,3.256582986,2.009135778,3.153285473,2.307764691,1.985233344,1.036193559,0.666525129,2.036321232,0.255,0.24532203,0.00967797,-0.00967797,9.36631033209e-05,0.0379528235294,0.283274853529,0.255
