id,Natoms,percent_atom_al,percent_atom_ga,percent_atom_in,vol_per_atom,a,b,c,alpha,gamma,beta,a_b,b_c,a_c,ecn_bond_dist_Al-O,ecn_bond_dist_Ga-O,ecn_bond_dist_In-O,Ef,mbtr_predE,soap_predE,ngram_predE,atomic_predE,,
32,80,0.375,0.34375,0.28125,11.20497401,24.45764165,6.21981312,6.088557853,89.99980585,104.5747942,90.00016196,3.932214872,1.021557694,4.016984357,1.900470611,1.884623306,1.91983954,0.1363,0.137025389,0.14308098,0.136309722,0.212769304,,
33,80,0,0.75,0.25,11.40987419,24.4204421,6.569428112,6.569302627,119.9908392,89.99482624,90.00394408,3.71728584,1.000019102,3.717356847,0,1.986998883,2.168237971,0.1027,0.102630257,0.11056633,0.101383285,0.105793087,,
34,80,0.40625,0.21875,0.375,11.4099298,24.4004153,6.26339407,6.178474797,89.99979795,104.8310905,90.00015551,3.895717725,1.013744375,3.94926193,1.885665059,1.896749413,1.919431285,0.1599,0.149208022,0.16076176,0.150701482,0.260593415,,
35,80,0.03125,0.03125,0.9375,13.35076759,10.22208617,10.22184173,10.22180362,89.99918966,90.00060396,90.00060273,1.000023914,1.000003728,1.000027642,2.154671974,2.154671974,2.162284804,0.039,0.04005585,0.0408637,0.049517299,0.081660631,,
36,80,0.0625,0,0.9375,13.70538083,11.25513759,10.1875789,9.562232566,90.00040514,90.00038499,89.99603213,1.104790225,1.065397524,1.177040771,1.996929982,0,2.029321698,0.2113,0.225881326,0.21704739,0.215451842,0.074562073,,
37,30,0.75,0.083333333,0.166666667,9.544726419,13.43834207,4.960431891,4.960168635,120.0016633,89.98858334,90.01230993,2.709107264,1.000053074,2.709251047,1.929739122,1.929767934,1.929703118,0.1702,0.167633751,0.16949991,0.166136702,0.213542317,,
38,60,0,0.583333333,0.416666667,11.32220954,14.09279273,10.5515239,5.275232625,120.0004194,90.0001863,89.99962079,1.335616814,2.000200683,2.671501663,0,2.049702639,2.049701853,0.1592,0.16144107,0.15524207,0.145146514,0.104023013,,
39,80,0.5,0.125,0.375,11.08951074,10.42663313,9.543332525,8.915757023,90.00292297,90.00067993,90.00072996,1.09255683,1.07038948,1.169461337,1.890115137,1.879530634,1.885085356,0.2275,0.213917888,0.22288137,0.221784209,0.298851511,,
40,80,0.53125,0.46875,0,9.672727167,9.18109275,9.18066667,9.180584546,90.00432769,90.00448506,89.99610054,1.000046411,1.000008945,1.000055356,1.944214562,1.938589571,0,0.1005,0.107947573,0.10679934,0.093475938,0.103442803,,
41,30,0.583333333,0.416666667,0,9.299543313,13.33461501,4.915329125,4.915007568,120.0010962,89.99090873,90.01034838,2.7128631,1.000065424,2.713040586,1.90434546,1.90433208,0,0.0685,0.054321267,0.06314887,0.088713694,0.101980223,,
42,80,0.75,0.125,0.125,9.968067841,10.03246407,9.235830653,8.606318207,90.00434539,90.00114756,90.00203863,1.086254658,1.073145384,1.165709172,1.815667854,1.830628015,1.832145004,0.1549,0.153093763,0.15812734,0.150402718,0.185044807,,
43,30,0.583333333,0.416666667,0,9.299543313,13.33461501,4.915329125,4.915007568,120.0010962,89.99090873,90.01034838,2.7128631,1.000065424,2.713040586,1.912749384,1.912736164,0,0.0578,0.05583421,0.05851249,0.074603512,0.101980223,,
44,80,0.3125,0,0.6875,12.06359253,9.882377268,9.882301318,9.882051795,89.99931402,90.00076379,90.0012319,1.000007685,1.00002525,1.000032936,2.094107948,0,2.088089552,0.2332,0.208285857,0.21139766,0.20441803,0.263694557,,
45,40,0.0625,0.625,0.3125,11.95589085,14.67157584,6.13564973,6.134320616,119.998232,90.00571443,90.00094165,2.391201663,1.000216668,2.391719761,2.109646147,2.008368519,2.109485893,0.311,0.312144894,0.32997947,0.297498608,0.215678691,,
46,20,0.875,0.125,0,9.825783202,12.00619851,5.698058622,2.9601018,89.99910604,90.00028135,103.9713649,2.107068268,1.924953602,4.056008651,1.851334375,1.794424201,0,0.0244,0.038114316,0.03696708,0.024859012,0.102898974,,
47,80,0.46875,0.15625,0.375,11.32277188,24.33546073,6.24561864,6.16575415,89.99972578,104.8526075,90.00016571,3.896405165,1.012952915,3.946874971,1.882398519,1.889869266,1.914149196,0.1631,0.162182988,0.16672529,0.157144201,0.288108873,,
48,30,0.416666667,0,0.583333333,11.23365277,14.07181433,5.258961237,5.258578113,120.0014963,89.99389355,90.00569809,2.675778295,1.000072857,2.675973244,2.040901313,0,2.040881621,0.2149,0.232900343,0.23415523,0.232657681,0.265983533,,
49,80,0.84375,0.15625,0,9.508944386,23.46444718,6.118761804,6.118437912,120.0051475,90.01291117,89.99939554,3.834835859,1.000052937,3.835038864,1.875364726,2.03441673,0,0.181,0.186479259,0.18476668,0.18093539,0.09940054,,
50,80,0,0.4375,0.5625,12.13748527,9.902419881,9.902400267,9.90231848,90.00238208,90.00271928,89.99642094,1.000001981,1.000008259,1.00001024,0,2.095187307,2.093432499,0.123,0.121634218,0.120023,0.135024538,0.109175033,,
51,80,0.40625,0.34375,0.25,11.07966485,24.4334132,6.19343584,6.050113632,89.99976003,104.5021459,90.00017102,3.945049861,1.023689176,4.038504842,1.894006793,1.886734982,1.915432665,0.1557,0.147818209,0.16079158,0.15098803,0.208867849,,
52,80,0,0.75,0.25,11.40975899,10.52175985,9.62814765,9.010218682,89.99744125,90.00081735,90.00046748,1.092812474,1.068580907,1.167758544,0,1.916175624,1.87020701,0.0844,0.061352192,0.07760875,0.085478592,0.105793087,,
53,80,0.40625,0,0.59375,11.62066044,9.759898634,9.75988969,9.759567723,89.99930013,90.00090775,90.00151222,1.000000916,1.00003299,1.000033906,2.059357953,0,2.067292974,0.2436,0.25681846,0.25952337,0.23937026,0.265491711,,
54,80,0.65625,0.3125,0.03125,9.831409034,23.64536656,6.197652024,6.197436194,120.0022693,90.01738109,89.99986775,3.815213644,1.000034826,3.815346511,1.929837641,1.923524821,1.788826689,0.2856,0.274972165,0.28294978,0.278213422,0.139781463,,
55,40,0.625,0.375,0,10.0349574,14.07817644,9.942526368,5.721524782,30.13322962,93.23819659,92.8126278,1.415955655,1.73774068,2.460563744,1.898526335,1.893705505,0,0.1369,0.160107546,0.16580769,0.091930132,0.100211412,,
56,40,0,0.25,0.75,13.51163656,15.75931828,10.96857936,6.296421943,30.32114061,100.3830783,98.85650186,1.436769317,1.742033723,2.502900603,0,2.002450215,1.994137024,0.238,0.289334611,0.30360068,0.316760687,0.183562495,,
57,80,0.40625,0.34375,0.25,10.56527582,9.455103491,9.454806459,9.454790243,90.00304465,89.99695558,90.00328182,1.000031416,1.000001715,1.000033131,1.999054939,2.00016448,1.999567794,0.2037,0.197474148,0.20842684,0.211470142,0.208867849,,
58,80,0.625,0.3125,0.0625,9.962104387,23.70900194,6.230303441,6.230083476,120.0012889,90.01697071,90.00137685,3.80543294,1.000035307,3.805567298,1.90599412,1.959932431,2.067637325,0.201,0.199760816,0.21402469,0.2010118,0.174964053,,
59,40,0.0625,0.1875,0.75,13.02410906,10.02849481,9.404865667,5.523567492,90.00014028,89.99739432,89.99984777,1.066309203,1.702679596,1.815582923,2.037899136,1.982668446,1.991883028,0.1755,0.163243234,0.17253817,0.163813248,0.201478027,,
60,40,0.6875,0.3125,0,9.936978706,14.0183819,9.907997081,5.706419743,30.14104408,92.87968257,92.55174189,1.414855271,1.73628957,2.456598451,1.928169129,1.824882005,0,0.0822,0.096494219,0.10834354,0.087606503,0.097383793,,
61,40,0,0.125,0.875,13.95290994,15.93976235,11.08284985,6.367307372,30.35649238,100.9507763,99.40236816,1.438236786,1.740586594,2.503375669,0,1.991870566,2.006365128,0.3208,0.248748995,0.24126996,0.294515023,0.159563599,,
62,80,0.34375,0.25,0.40625,11.58114584,24.457125,6.29865907,6.223311828,89.9998788,104.8898967,90.00014164,3.882909795,1.012107258,3.929921186,1.914032827,1.894145616,1.908993534,0.2259,0.229064593,0.20893068,0.237029464,0.246252489,,
63,80,0.53125,0.25,0.21875,10.54929704,23.98032486,6.374823237,6.374538676,119.9974487,90.01499572,90.00670112,3.761723889,1.00004464,3.761891813,1.951068293,2.008560809,1.994193256,0.3131,0.297604884,0.28819672,0.288557928,0.230918104,,
64,80,0.78125,0.21875,0,9.585288275,23.5113523,6.137098118,6.13682016,120.0044084,90.01530787,89.99871051,3.831021087,1.000045293,3.831194607,1.9325386,1.809718365,0,0.276,0.267962374,0.25417468,0.271105059,0.095956994,,
65,80,0.375,0.125,0.5,11.64554993,24.45968281,6.631781944,6.631361565,119.9918066,90.01524427,90.00715817,3.688251969,1.000063393,3.688485776,2.049443702,2.117165925,2.032513146,0.4202,0.414837101,0.40952086,0.403469963,0.281993826,,
66,30,0.166666667,0.833333333,0,9.844917741,13.54246624,5.018493608,5.018022412,120.0001812,89.99798153,90.00341564,2.698512203,1.000093901,2.698765595,1.942448309,1.942424106,0,0.0727,0.069057508,0.0722563,0.073110381,0.079704957,,
67,30,0.333333333,0.666666667,0,9.624292309,13.4593253,4.977225563,4.976814077,120.0005424,89.995212,90.00617042,2.704182306,1.000082681,2.704405889,1.935623912,1.935623909,0,0.0762,0.080332816,0.08198928,0.08858025,0.096545965,,
68,80,0.40625,0.3125,0.28125,10.65846032,9.482809774,9.482540964,9.482496589,90.00283605,89.99716987,90.00311253,1.000028348,1.00000468,1.000033028,2.006955252,2.004105307,2.004693991,0.221,0.219725381,0.21427829,0.218483389,0.220869486,,
69,80,0.8125,0.1875,0,9.546973136,23.48789769,6.12790029,6.127599615,120.0047797,90.01418591,89.99902314,3.832943843,1.000049069,3.833131922,1.871940847,2.037247277,0,0.1723,0.174597493,0.18296751,0.17363137,0.097115005,,
70,80,0.375,0.4375,0.1875,10.66927167,24.05764929,6.400570459,6.400380196,119.9961767,90.01315873,90.00396029,3.758672675,1.000029727,3.758784409,1.982746498,1.98270334,1.982686077,0.2745,0.307291482,0.2907204,0.307113218,0.182802976,,
71,80,0.25,0.75,0,10.26645343,10.12759801,9.320626143,8.700793988,89.99894707,90.00196839,90.00206017,1.086579148,1.071238574,1.163985496,1.813876942,1.84520765,0,0.066,0.069705488,0.06867383,0.067336282,0.088360337,,
72,80,0.40625,0.59375,0,9.839302929,9.233465017,9.233144691,9.232939158,90.00482552,90.00470187,89.99523344,1.000034693,1.000022261,1.000056955,1.950175757,1.954348402,0,0.1092,0.111162286,0.10874303,0.095964682,0.101523572,,
73,40,0.125,0.875,0,10.43802081,9.368339104,8.750637679,5.093025444,90.00203469,90.00194192,89.99767454,1.070589304,1.718160998,1.839444787,1.835142482,1.849450958,0,0.0546,0.05750672,0.06105639,0.053745965,0.07609206,,
74,60,0,0.875,0.125,10.43462564,13.76576029,10.24911186,5.124025437,119.9999992,90.00067789,90.00027984,1.343117382,2.000207061,2.686512871,0,1.993236164,1.993227896,0.1165,0.113702125,0.1102521,0.110100527,0.095195357,,
75,80,0.40625,0.09375,0.5,11.63401868,10.60911544,9.685164563,9.058026042,90.00244968,90.00052776,89.99989207,1.095398573,1.069235672,1.171239229,1.931887851,1.911698808,1.907882706,0.2637,0.294938037,0.2862628,0.280797927,0.292743348,,
76,80,0.8125,0.125,0.0625,9.72537483,23.56820721,6.174322769,6.173980478,120.0034686,90.0124262,90.00374008,3.817132355,1.000055441,3.81734398,1.926618072,1.84921928,1.916403662,0.2881,0.296021767,0.29795888,0.290180464,0.143830787,,
77,40,0.3125,0.375,0.3125,11.55082243,14.76097726,10.34360943,5.992449611,30.33727706,90.98737302,91.146818,1.427062512,1.726107035,2.463262642,2.042325316,2.017611791,2.005107246,0.3358,0.320870238,0.31856191,0.354261369,0.216516533,,
78,40,0.625,0,0.375,10.91090859,9.495620894,8.865926881,5.184100321,90.00072418,90.00095227,90.00412272,1.071024048,1.710215145,1.831681547,1.891995074,0,1.85099653,0.1857,0.243371113,0.25408953,0.228051066,0.307644954,,
79,80,0.46875,0.34375,0.1875,10.54192263,10.23326933,9.396194638,8.770884719,90.00190713,90.00106874,90.00152378,1.089086564,1.071293825,1.16673171,1.851195912,1.864060306,1.844821684,0.1661,0.169917644,0.16811559,0.173244415,0.208954465,,
80,80,0.25,0.09375,0.65625,12.39966838,10.85548435,9.877373521,9.251440812,90.00142694,90.00036707,89.99856958,1.099025396,1.067657862,1.173383105,1.958414036,1.966428759,1.959790254,0.283,0.288264495,0.29460646,0.295179099,0.259845571,,
81,80,0.53125,0.46875,0,9.672727167,9.18109275,9.18066667,9.180584546,90.00432769,90.00448506,89.99610054,1.000046411,1.000008945,1.000055356,1.939692573,1.943714492,0,0.1104,0.1124575,0.11607658,0.094416914,0.103442803,,
82,30,0.416666667,0.583333333,0,9.515220528,13.41775505,4.956592661,4.956211098,120.0007253,89.99379777,90.00755694,2.707052196,1.000076987,2.707260604,1.927987392,1.928003326,0,0.0622,0.073770209,0.06666209,0.076683836,0.102014881,,
83,80,0.15625,0.09375,0.75,12.87477556,11.00330845,9.992703359,9.36749288,90.00078818,90.00029216,89.99767898,1.101134303,1.066742563,1.174626828,1.971420332,2.009135778,1.985233344,0.255,0.243156164,0.24532203,0.239548535,0.219782882,,
84,80,0,0.21875,0.78125,12.86503998,10.09648141,10.09637842,10.09637465,89.9979264,90.00135169,90.00151725,1.000010201,1.000000373,1.000010574,0,2.144307358,2.132717877,0.0723,0.072270923,0.07238157,0.095281294,0.18646845,,
85,80,0.53125,0.46875,0,9.672727167,9.18109275,9.18066667,9.180584546,90.00432769,90.00448506,89.99610054,1.000046411,1.000008945,1.000055356,1.938195343,1.945411353,0,0.1136,0.100992339,0.11592902,0.091621418,0.103442803,,
86,80,0.75,0.0625,0.1875,10.15607608,10.10178823,9.288849998,8.658760447,90.00459636,90.00099387,90.0018461,1.08751764,1.072769024,1.166655238,1.826026033,1.860021845,1.842722122,0.1836,0.19701888,0.19076183,0.200761344,0.232033702,,
87,40,0.5625,0.4375,0,9.845804916,9.201352093,8.576193697,4.990740491,90.00174832,90.00228371,90.00203443,1.072894622,1.718421087,1.843684742,1.834441609,1.782367562,0,0.0303,0.038856724,0.03239769,0.030341615,0.102689092,,
88,40,0.3125,0.6875,0,10.18138123,9.296770363,8.675872899,5.049186435,90.00193072,90.00211323,89.99957546,1.071565994,1.71827145,1.841241254,1.866202252,1.816790247,0,0.0453,0.052788499,0.05197278,0.046376848,0.094688846,,
89,30,0.833333333,0.083333333,0.083333333,9.207334684,13.30333851,4.89661795,4.896385643,120.0017557,89.98682032,90.0141149,2.716842246,1.000047445,2.716971146,1.905993958,1.905960594,1.905960602,0.0901,0.098072837,0.0947197,0.108453124,0.153284664,,
90,80,0.46875,0.25,0.28125,10.82507943,24.1076966,6.440482912,6.440181175,119.9957792,90.01440067,90.00715189,3.743150464,1.000046852,3.743325839,2.020993686,1.993986378,1.948974197,0.4202,0.414837101,0.40952086,0.403469963,0.24181202,,
91,80,0.84375,0.15625,0,9.264537293,9.050162588,9.049698188,9.049472106,90.00306153,89.9983126,90.00393159,1.000051317,1.000024983,1.000076301,1.915049806,1.90757696,0,0.0873,0.084511002,0.09004606,0.069748878,0.09940054,,
92,80,0.0625,0.21875,0.71875,12.85135286,24.9767037,6.894039294,6.893517676,119.9865908,90.00971664,89.99165817,3.622941883,1.000075668,3.623216023,2.125943735,2.145319899,2.120013765,0.3153,0.288805631,0.27674109,0.308742211,0.208976776,,
93,80,0.46875,0.25,0.28125,10.57035324,9.456622841,9.456363316,9.456257097,90.0025834,89.99759516,90.00300178,1.000027444,1.000011233,1.000038677,1.998575726,1.996585839,2.00501943,0.2209,0.226268275,0.22900208,0.224606779,0.24181202,,
94,80,0.0625,0.9375,0,10.89048533,24.8566996,6.15128428,5.864461645,90.00008899,103.6809751,90.00014696,4.040895928,1.048908604,4.238530509,1.960587873,1.906241322,0,0.001,0.001537557,0.00796263,0.002671301,0.072385424,,
95,30,0.333333333,0.666666667,0,9.624292309,13.4593253,4.977225563,4.976814077,120.0005424,89.995212,90.00617042,2.704182306,1.000082681,2.704405889,1.935573384,1.935649173,0,0.0665,0.067235442,0.06321276,0.075453407,0.096545965,,
96,80,0.28125,0.3125,0.40625,11.48352936,24.40958873,6.592205264,6.591875825,119.9920512,90.01106019,90.0041692,3.702795613,1.000049977,3.702980666,2.053313835,2.03826981,2.027821588,0.3576,0.355164858,0.35757928,0.35901631,0.239765423,,
97,80,0.5625,0.09375,0.34375,10.90051668,10.36275262,9.492965423,8.864618334,90.00341205,90.00073823,90.00098542,1.091624393,1.070882588,1.169001555,1.882726972,1.873236282,1.865514459,0.2451,0.26081306,0.2544231,0.264286828,0.301015899,,
98,80,0,0.65625,0.34375,11.90180871,24.83096149,6.36144486,6.2291838,90.00025002,104.6112719,90.00009326,3.903352467,1.021232486,3.986230345,0,1.918218169,1.96443494,0.0226,0.016655225,0.01497258,0.017284575,0.110068493,,
99,40,0,0.9375,0.0625,10.8074524,9.469076664,8.852914123,5.156908664,90.00170859,90.00149416,89.99665863,1.069599968,1.716709506,1.836192433,0,1.8719898,1.834278593,0.0609,0.06088445,0.0619449,0.061504947,0.090774073,,
100,20,0.25,0,0.75,12.65696145,12.23192314,6.596236778,3.25885368,90.00007848,90.00008759,105.6922728,1.854379027,2.024097252,3.753443493,1.925981114,0,1.925981114,0.3372,0.320072356,0.31433164,0.333971604,0.246135391,,
101,80,0.09375,0.625,0.28125,11.37471551,10.51258179,9.618871307,8.999057537,89.99852791,90.0007382,90.00046506,1.092912199,1.068875409,1.168186974,1.901169453,1.899641075,1.910398145,0.1662,0.17242639,0.17524247,0.178123939,0.228527056,,
102,20,0.875,0.125,0,9.825783202,12.00619851,5.698058622,2.9601018,89.99910604,90.00028135,103.9713649,2.107068268,1.924953602,4.056008651,1.837106831,1.894017005,0,0.0408,0.038774766,0.04398713,0.044846175,0.102898974,,
103,80,0.5,0.1875,0.3125,10.89013506,10.35730674,9.490310185,8.8633114,90.0026934,90.00077095,90.00102321,1.091355977,1.070740918,1.1685595,1.87448847,1.87994697,1.873555967,0.2179,0.21729964,0.21588115,0.209822559,0.268679752,,
104,40,0.4375,0.375,0.1875,11.0555967,14.51557475,5.931171442,5.930909163,119.9963919,89.99369652,90.00557921,2.447336903,1.000044222,2.44744513,2.00709836,2.027119164,1.94306041,0.2716,0.320853965,0.31536958,0.31975425,0.198092743,,
105,40,0.3125,0.625,0.0625,10.89231558,14.51241733,5.887934927,5.887776993,120.0009852,90.00189678,89.99638205,2.464772031,1.000026824,2.464838146,1.977361014,2.011192969,2.045452174,0.3572,0.320274694,0.2884019,0.344373651,0.136602566,,
106,30,0.833333333,0.083333333,0.083333333,9.207334684,13.30333851,4.89661795,4.896385643,120.0017557,89.98682032,90.0141149,2.716842246,1.000047445,2.716971146,1.905993958,1.905960594,1.905960602,0.0892,0.102068624,0.09397688,0.108453124,0.153284664,,
107,30,0.75,0.166666667,0.083333333,9.31405991,13.34490822,4.917248582,4.916986225,120.0015671,89.98829662,90.01271722,2.713897416,1.000053357,2.714042222,1.913610202,1.913613713,1.913645297,0.0981,0.100247148,0.09326904,0.11600444,0.163584502,,
108,80,0.53125,0.21875,0.25,10.39057755,9.402729811,9.402451239,9.402311383,90.00253882,89.99780988,90.00306021,1.000029628,1.000014875,1.000044503,1.98964672,1.985676578,1.988484245,0.2136,0.231765861,0.22100352,0.219008583,0.244571481,,
109,80,0.34375,0.40625,0.25,10.6533546,9.481290367,9.481029709,9.480984082,90.00329566,90.00339172,89.99653191,1.000027493,1.000004812,1.000032305,2.008105322,2.00459329,2.00180014,0.1995,0.195559513,0.19332432,0.20146711,0.19721427,,
110,80,0,0.125,0.875,13.57820759,11.21501899,10.15841254,9.534689901,89.9995962,90.00015345,89.9962865,1.104012949,1.065416143,1.176233219,0,2.002431016,2.023734976,0.137,0.138770101,0.14592285,0.135571337,0.159563599,,
